id,sentence,aspects_str
716,We were very disappointed.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}, {'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
385,I really liked this place.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1350,I will be going back very soon.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3534,"All the money went into the interior decoration, none of it went to the chefs.","[{'type': 'term', 'term': 'interior decoration', 'polarity': 'positive'}, {'type': 'term', 'term': 'chefs', 'polarity': 'negative'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'negative'}]"
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[{'type': 'term', 'term': 'seats', 'polarity': 'negative'}, {'type': 'category', 'category': 'ambience', 'polarity': 'negative'}]"
565,"I asked for seltzer with lime, no ice.","[{'type': 'term', 'term': 'seltzer with lime', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'neutral'}]"
387,It was pretty inexpensive too.,"[{'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
1314,Will not be back.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[{'type': 'term', 'term': 'pickles', 'polarity': 'positive'}, {'type': 'term', 'term': 'selection of meats and seafoods', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2227,My suggestion is to eat family style because you'll want to try the other dishes.,"[{'type': 'term', 'term': 'dishes', 'polarity': 'neutral'}, {'type': 'term', 'term': 'eat family style', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'neutral'}]"
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.","[{'type': 'term', 'term': 'vibe', 'polarity': 'positive'}, {'type': 'term', 'term': 'owner', 'polarity': 'positive'}, {'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
1210,This isn't a value joint.,"[{'type': 'category', 'category': 'price', 'polarity': 'negative'}]"
2191,Faan's got a great concept but a little rough on the delivery.,"[{'type': 'term', 'term': 'delivery', 'polarity': 'negative'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'term', 'term': 'atmosphere', 'polarity': 'positive'}, {'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!","[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'term', 'term': 'prices', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
500,Look foward to trying the Ruben upon returning.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
388,this little place has a cute interior decor and affordable city prices.,"[{'type': 'term', 'term': 'interior decor', 'polarity': 'positive'}, {'type': 'term', 'term': 'prices', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}, {'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
3070,You'll adore it.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3373,Two words: Free wine.,"[{'type': 'term', 'term': 'wine', 'polarity': 'positive'}, {'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
425,The price is reasonable although the service is poor.,"[{'type': 'term', 'term': 'price', 'polarity': 'positive'}, {'type': 'term', 'term': 'service', 'polarity': 'negative'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}, {'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
3192,"The quantity is also very good, you will come out satisfied.","[{'type': 'term', 'term': 'quantity', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
1098,I have been to Roth's twice and both times were very disappointing.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2173,Worth visiting the 1st Ave spot because it is the original store.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[{'type': 'term', 'term': 'sushi', 'polarity': 'neutral'}, {'type': 'term', 'term': 'sushi bar', 'polarity': 'neutral'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
263,"Raga's is a romantic, cozy restaurant.","[{'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
2384,The fried rice is amazing here.,"[{'type': 'term', 'term': 'fried rice', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[{'type': 'term', 'term': 'mussels', 'polarity': 'positive'}, {'type': 'term', 'term': 'puff pastry goat cheese', 'polarity': 'positive'}, {'type': 'term', 'term': 'salad with a delicious dressing', 'polarity': 'positive'}, {'type': 'term', 'term': 'hanger steak au poivre', 'polarity': 'positive'}, {'type': 'term', 'term': 'courses', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
3404,it's a perfect place to have a amanzing indian food.,"[{'type': 'term', 'term': 'indian food', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2599,The place is so cool and the service is prompt and curtious.,"[{'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'term', 'term': 'place', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[{'type': 'term', 'term': 'broth with noodles', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
648,I just wonder how you can have such a delicious meal for such little money.,"[{'type': 'term', 'term': 'meal', 'polarity': 'positive'}, {'type': 'term', 'term': 'money', 'polarity': 'positive'}, {'type': 'category', 'category': 'price', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
863,The food was delicious but do not come here on a empty stomach.,"[{'type': 'term', 'term': 'food', 'polarity': 'conflict'}, {'type': 'category', 'category': 'food', 'polarity': 'conflict'}]"
1623,The wine list is excellent.,"[{'type': 'term', 'term': 'wine list', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2177,so garantuan that you can't fit them in a toaster.,"[{'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[{'type': 'term', 'term': 'Thai food', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
1101,They wouldnt even let me finish my glass of wine before offering another.,"[{'type': 'term', 'term': 'glass of wine', 'polarity': 'neutral'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
1823,I highly recommend the Sophia pizza.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[{'type': 'term', 'term': 'specials', 'polarity': 'neutral'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
2783,This is a consistently great place to dine for lunch or dinner.,"[{'type': 'term', 'term': 'lunch', 'polarity': 'neutral'}, {'type': 'term', 'term': 'dinner', 'polarity': 'neutral'}, {'type': 'term', 'term': 'dine', 'polarity': 'positive'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2983,"Nice atmosphere, the service was very pleasant and the desert was good.","[{'type': 'term', 'term': 'atmosphere', 'polarity': 'positive'}, {'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'term', 'term': 'desert', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
66,All the people that I bring there go back on their own and bring THEIR friends!,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[{'type': 'term', 'term': 'bar', 'polarity': 'positive'}, {'type': 'term', 'term': 'table', 'polarity': 'neutral'}, {'type': 'term', 'term': 'dinner', 'polarity': 'neutral'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[{'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'term', 'term': 'atmosphere', 'polarity': 'positive'}, {'type': 'term', 'term': 'environment', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
2934,Not what I wanted to hear.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2787,Try the lasagnette appetizer.,"[{'type': 'term', 'term': 'lasagnette appetizer', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
825,"Pricey, but worth a try, at least once.","[{'type': 'category', 'category': 'price', 'polarity': 'negative'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
604,I liked the beer selection!,"[{'type': 'term', 'term': 'beer selection', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2911,"Great food, good size menu, great service and an unpretensious setting.","[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'term', 'term': 'menu', 'polarity': 'positive'}, {'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'term', 'term': 'setting', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
3074,Go here for a romantic dinner but not for an all out wow dining experience.,"[{'type': 'term', 'term': 'dinner', 'polarity': 'positive'}, {'type': 'term', 'term': 'dining', 'polarity': 'positive'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'conflict'}]"
1479,Can't wait to go back.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[{'type': 'term', 'term': 'Dosa', 'polarity': 'neutral'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[{'type': 'term', 'term': 'Wine list selection', 'polarity': 'positive'}, {'type': 'term', 'term': 'wine-by-the-glass', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
728,"With the great variety on the menu , I eat here often and never get bored .","[{'type': 'term', 'term': 'menu', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2925,The menu is very limited - i think we counted 4 or 5 entrees.,"[{'type': 'term', 'term': 'menu', 'polarity': 'negative'}, {'type': 'term', 'term': 'entrees', 'polarity': 'negative'}, {'type': 'category', 'category': 'food', 'polarity': 'negative'}]"
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3436,The menu is limited but almost all of the dishes are excellent.,"[{'type': 'term', 'term': 'menu', 'polarity': 'negative'}, {'type': 'term', 'term': 'dishes', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'conflict'}]"
3273,Not too crazy about their sake martini.,"[{'type': 'term', 'term': 'sake martini', 'polarity': 'negative'}, {'type': 'category', 'category': 'food', 'polarity': 'negative'}]"
1215,"Great bagels, spreads and a good place to hang out in.","[{'type': 'term', 'term': 'bagels', 'polarity': 'positive'}, {'type': 'term', 'term': 'spreads', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.","[{'type': 'term', 'term': 'service', 'polarity': 'conflict'}, {'type': 'category', 'category': 'service', 'polarity': 'conflict'}]"
2511,"whoever the jazz duo was, they were on POINT.","[{'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[{'type': 'term', 'term': 'table', 'polarity': 'neutral'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
1562,This place is a great bargain.,"[{'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
1712,We happened upon this place purely by accident and were pleased with the results.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[{'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3207,We always have a delicious meal and always leave feeling satisfied.,"[{'type': 'term', 'term': 'meal', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[{'type': 'term', 'term': 'ingredients', 'polarity': 'neutral'}, {'type': 'term', 'term': 'chopsticks', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'neutral'}]"
2972,First went here to enjoy their garden terrace.,"[{'type': 'term', 'term': 'garden terrace', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
1903,"My husbands was perfect, my was well done and dry.","[{'type': 'category', 'category': 'food', 'polarity': 'conflict'}]"
2549,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[{'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
1755,The pizza was pretty good and huge.,"[{'type': 'term', 'term': 'pizza', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2890,Sapphire is the only Indian restaurant I go to when I'm in NYC.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[{'type': 'term', 'term': 'cuisine', 'polarity': 'neutral'}, {'type': 'category', 'category': 'food', 'polarity': 'neutral'}]"
2308,I heartily recommend.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
51,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[{'type': 'term', 'term': 'atmosphere', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,"[{'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'term', 'term': 'crowded', 'polarity': 'negative'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'negative'}]"
1688,All my co-workers were amazed at how small the dish was.,"[{'type': 'term', 'term': 'dish', 'polarity': 'negative'}, {'type': 'category', 'category': 'food', 'polarity': 'negative'}]"
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.","[{'type': 'term', 'term': 'atmosphere', 'polarity': 'positive'}, {'type': 'term', 'term': 'service', 'polarity': 'positive'}, {'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[{'type': 'term', 'term': 'grilled branzino', 'polarity': 'negative'}, {'type': 'category', 'category': 'food', 'polarity': 'negative'}]"
3083,"The wait staff is friendly, and the food has gotten better and better!","[{'type': 'term', 'term': 'wait staff', 'polarity': 'positive'}, {'type': 'term', 'term': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'service', 'polarity': 'positive'}]"
1388,"This place, which is only a few months old, is perhaps Queens' biggest secret!","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[{'type': 'term', 'term': 'vibe', 'polarity': 'positive'}, {'type': 'term', 'term': 'French food', 'polarity': 'positive'}, {'type': 'term', 'term': 'packed', 'polarity': 'negative'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'conflict'}]"
1574,This place is so much fun.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
498,I was glad I did.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[{'type': 'term', 'term': 'pizza', 'polarity': 'positive'}, {'type': 'term', 'term': 'place', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'ambience', 'polarity': 'positive'}]"
473,I've never been treated so rudely.,"[{'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
380,I'll be back soon.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[{'type': 'term', 'term': 'pre-theater menu', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
322,Went inside and I started to get excited.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1383,I also ordered for delivery and the restaurant forgot half the order.,"[{'type': 'term', 'term': 'delivery', 'polarity': 'negative'}, {'type': 'term', 'term': 'order', 'polarity': 'negative'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
892,Our server checked on us maybe twice during the entire meal.,"[{'type': 'term', 'term': 'server', 'polarity': 'negative'}, {'type': 'term', 'term': 'meal', 'polarity': 'neutral'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
2296,"However, it is jus too good to not praise it.","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
868,We have been to Montparnasse many times and return often for good reason.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,"[{'type': 'term', 'term': 'scents', 'polarity': 'negative'}, {'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
3423,We had the lobster sandwich and it was FANTASTIC.,"[{'type': 'term', 'term': 'lobster sandwich', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
154,It's somewhere you can eat and be happy.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
591,"If you wrote a bad review, it's because you don't understand what Rao's is all about.","[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[{'type': 'term', 'term': 'check', 'polarity': 'negative'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
2061,but overall i give it a 10,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[{'type': 'term', 'term': 'Spider Roll', 'polarity': 'conflict'}, {'type': 'term', 'term': 'price', 'polarity': 'positive'}, {'type': 'term', 'term': 'shell crab', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}, {'type': 'category', 'category': 'price', 'polarity': 'positive'}]"
2804,Deep Fried Skewers are good and still rare to find in NYC.,"[{'type': 'term', 'term': 'Deep Fried Skewers', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
194,"I have tried to make reservations, but both times, the hostess didn't have my name.","[{'type': 'term', 'term': 'reservations', 'polarity': 'neutral'}, {'type': 'term', 'term': 'hostess', 'polarity': 'negative'}, {'type': 'category', 'category': 'service', 'polarity': 'negative'}]"
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[{'type': 'term', 'term': 'rice dishes', 'polarity': 'positive'}, {'type': 'term', 'term': 'congee (rice porridge)', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2747,Their tuna tartar appetizer is to die for.,"[{'type': 'term', 'term': 'tuna tartar appetizer', 'polarity': 'positive'}, {'type': 'category', 'category': 'food', 'polarity': 'positive'}]"
2845,This was one of the BEST restaurants I've ever been to.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
187,This restaurant used to be pretty decent.,"[{'type': 'category', 'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
